Vivado Simulator 2018.3
Time resolution is 1 ps
At time                    0, a = 0000000000000000, b = 0000000000000000, cin = 0, s = 0000000000000000, cout = 0
At time                    2, a = 0000001111101000, b = 0000000000000000, cin = 0, s = 0000001111101000, cout = 0
At time                    4, a = 0000001111101000, b = 0000001111101000, cin = 0, s = 0000011111010000, cout = 0
At time                    6, a = 0000011111010000, b = 0000001111101000, cin = 0, s = 0000101110111000, cout = 0
At time                    8, a = 0000011111010000, b = 0000011111010000, cin = 0, s = 0000111110100000, cout = 0
At time                   10, a = 0000101110111000, b = 0000011111010000, cin = 0, s = 0001001110001000, cout = 0
At time                   12, a = 0000101110111000, b = 0000101110111000, cin = 0, s = 0001011101110000, cout = 0
At time                   14, a = 0000111110100000, b = 0000101110111000, cin = 0, s = 0001101101011000, cout = 0
At time                   16, a = 0000111110100000, b = 0000111110100000, cin = 0, s = 0001111101000000, cout = 0
At time                   18, a = 0001001110001000, b = 0000111110100000, cin = 0, s = 0010001100101000, cout = 0
At time                   20, a = 0001001110001000, b = 0001001110001000, cin = 0, s = 0010011100010000, cout = 0
At time                   22, a = 0001011101110000, b = 0001001110001000, cin = 0, s = 0010101011111000, cout = 0
At time                   24, a = 0001011101110000, b = 0001011101110000, cin = 0, s = 0010111011100000, cout = 0
At time                   26, a = 0001101101011000, b = 0001011101110000, cin = 0, s = 0011001011001000, cout = 0
At time                   28, a = 0001101101011000, b = 0001101101011000, cin = 0, s = 0011011010110000, cout = 0
At time                   30, a = 0001111101000000, b = 0001101101011000, cin = 0, s = 0011101010011000, cout = 0
At time                   32, a = 0001111101000000, b = 0001111101000000, cin = 0, s = 0011111010000000, cout = 0
At time                   34, a = 0010001100101000, b = 0001111101000000, cin = 0, s = 0100001001101000, cout = 0
At time                   36, a = 0010001100101000, b = 0010001100101000, cin = 0, s = 0100011001010000, cout = 0
At time                   38, a = 0010011100010000, b = 0010001100101000, cin = 0, s = 0100101000111000, cout = 0
At time                   40, a = 0010011100010000, b = 0010011100010000, cin = 0, s = 0100111000100000, cout = 0
At time                   42, a = 0010101011111000, b = 0010011100010000, cin = 0, s = 0101001000001000, cout = 0
At time                   44, a = 0010101011111000, b = 0010101011111000, cin = 0, s = 0101010111110000, cout = 0
At time                   46, a = 0010111011100000, b = 0010101011111000, cin = 0, s = 0101100111011000, cout = 0
At time                   48, a = 0010111011100000, b = 0010111011100000, cin = 0, s = 0101110111000000, cout = 0
At time                   50, a = 0011001011001000, b = 0010111011100000, cin = 0, s = 0110000110101000, cout = 0
At time                   52, a = 0011001011001000, b = 0011001011001000, cin = 0, s = 0110010110010000, cout = 0
At time                   54, a = 0011011010110000, b = 0011001011001000, cin = 0, s = 0110100101111000, cout = 0
At time                   56, a = 0011011010110000, b = 0011011010110000, cin = 0, s = 0110110101100000, cout = 0
At time                   58, a = 0011101010011000, b = 0011011010110000, cin = 0, s = 0111000101001000, cout = 0
At time                   60, a = 0011101010011000, b = 0011101010011000, cin = 0, s = 0111010100110000, cout = 0
At time                   62, a = 0011111010000000, b = 0011101010011000, cin = 0, s = 0111100100011000, cout = 0
At time                   64, a = 0011111010000000, b = 0011111010000000, cin = 0, s = 0111110100000000, cout = 0
At time                   66, a = 0100001001101000, b = 0011111010000000, cin = 0, s = 1000000011101000, cout = 0
At time                   68, a = 0100001001101000, b = 0100001001101000, cin = 0, s = 1000010011010000, cout = 0
At time                   70, a = 0100011001010000, b = 0100001001101000, cin = 0, s = 1000100010111000, cout = 0
At time                   72, a = 0100011001010000, b = 0100011001010000, cin = 0, s = 1000110010100000, cout = 0
At time                   74, a = 0100101000111000, b = 0100011001010000, cin = 0, s = 1001000010001000, cout = 0
At time                   76, a = 0100101000111000, b = 0100101000111000, cin = 0, s = 1001010001110000, cout = 0
At time                   78, a = 0100111000100000, b = 0100101000111000, cin = 0, s = 1001100001011000, cout = 0
At time                   80, a = 0100111000100000, b = 0100111000100000, cin = 0, s = 1001110001000000, cout = 0
At time                   82, a = 0101001000001000, b = 0100111000100000, cin = 0, s = 1010000000101000, cout = 0
At time                   84, a = 0101001000001000, b = 0101001000001000, cin = 0, s = 1010010000010000, cout = 0
At time                   86, a = 0101010111110000, b = 0101001000001000, cin = 0, s = 1010011111111000, cout = 0
At time                   88, a = 0101010111110000, b = 0101010111110000, cin = 0, s = 1010101111100000, cout = 0
At time                   90, a = 0101100111011000, b = 0101010111110000, cin = 0, s = 1010111111001000, cout = 0
At time                   92, a = 0101100111011000, b = 0101100111011000, cin = 0, s = 1011001110110000, cout = 0
At time                   94, a = 0101110111000000, b = 0101100111011000, cin = 0, s = 1011011110011000, cout = 0
At time                   96, a = 0101110111000000, b = 0101110111000000, cin = 0, s = 1011101110000000, cout = 0
At time                   98, a = 0110000110101000, b = 0101110111000000, cin = 0, s = 1011111101101000, cout = 0
At time                  100, a = 0110000110101000, b = 0110000110101000, cin = 0, s = 1100001101010000, cout = 0
At time                  102, a = 0110010110010000, b = 0110000110101000, cin = 0, s = 1100011100111000, cout = 0
At time                  104, a = 0110010110010000, b = 0110010110010000, cin = 0, s = 1100101100100000, cout = 0
At time                  106, a = 0110100101111000, b = 0110010110010000, cin = 0, s = 1100111100001000, cout = 0
At time                  108, a = 0110100101111000, b = 0110100101111000, cin = 0, s = 1101001011110000, cout = 0
At time                  110, a = 0110110101100000, b = 0110100101111000, cin = 0, s = 1101011011011000, cout = 0
At time                  112, a = 0110110101100000, b = 0110110101100000, cin = 0, s = 1101101011000000, cout = 0
At time                  114, a = 0111000101001000, b = 0110110101100000, cin = 0, s = 1101111010101000, cout = 0
At time                  116, a = 0111000101001000, b = 0111000101001000, cin = 0, s = 1110001010010000, cout = 0
At time                  118, a = 0111010100110000, b = 0111000101001000, cin = 0, s = 1110011001111000, cout = 0
At time                  120, a = 0111010100110000, b = 0111010100110000, cin = 0, s = 1110101001100000, cout = 0
At time                  122, a = 0111100100011000, b = 0111010100110000, cin = 0, s = 1110111001001000, cout = 0
At time                  124, a = 0111100100011000, b = 0111100100011000, cin = 0, s = 1111001000110000, cout = 0
At time                  126, a = 0111110100000000, b = 0111100100011000, cin = 0, s = 1111011000011000, cout = 0
At time                  128, a = 0111110100000000, b = 0111110100000000, cin = 0, s = 1111101000000000, cout = 0
At time                  130, a = 1000000011101000, b = 0111110100000000, cin = 0, s = 1111110111101000, cout = 0
At time                  132, a = 1000000011101000, b = 1000000011101000, cin = 0, s = 0000000111010000, cout = 1
At time                  134, a = 1000010011010000, b = 1000000011101000, cin = 0, s = 0000010110111000, cout = 1
At time                  136, a = 1000010011010000, b = 1000010011010000, cin = 0, s = 0000100110100000, cout = 1
At time                  138, a = 1000100010111000, b = 1000010011010000, cin = 0, s = 0000110110001000, cout = 1
At time                  140, a = 1000100010111000, b = 1000100010111000, cin = 0, s = 0001000101110000, cout = 1
At time                  142, a = 1000110010100000, b = 1000100010111000, cin = 0, s = 0001010101011000, cout = 1
At time                  144, a = 1000110010100000, b = 1000110010100000, cin = 0, s = 0001100101000000, cout = 1
At time                  146, a = 1001000010001000, b = 1000110010100000, cin = 0, s = 0001110100101000, cout = 1
At time                  148, a = 1001000010001000, b = 1001000010001000, cin = 0, s = 0010000100010000, cout = 1
At time                  150, a = 1001010001110000, b = 1001000010001000, cin = 0, s = 0010010011111000, cout = 1
At time                  152, a = 1001010001110000, b = 1001010001110000, cin = 0, s = 0010100011100000, cout = 1
At time                  154, a = 1001100001011000, b = 1001010001110000, cin = 0, s = 0010110011001000, cout = 1
At time                  156, a = 1001100001011000, b = 1001100001011000, cin = 0, s = 0011000010110000, cout = 1
At time                  158, a = 1001110001000000, b = 1001100001011000, cin = 0, s = 0011010010011000, cout = 1
At time                  160, a = 1001110001000000, b = 1001110001000000, cin = 0, s = 0011100010000000, cout = 1
At time                  162, a = 1010000000101000, b = 1001110001000000, cin = 0, s = 0011110001101000, cout = 1
At time                  164, a = 1010000000101000, b = 1010000000101000, cin = 0, s = 0100000001010000, cout = 1
